product/productId,product/title,product/price,review/userId,review/profileName,review/helpfulness,review/score,review/time,review/summary,review/text
43,"USB Data Cable for Sony-Ericsson Z600, Z500, Z200, S700, P900, P802, P800, K700, T637, T630,T628, T618, T616, T610, T316, T310, T237, T226, T68i, T68, T62u, T39, R380 + Internet + Driver CD",unknown,769,Cole,2/4,1.0,1149379200,Don't Take the Chance - Get the SE Branded Cable,"If you purchase this data cable, you need to know that you will receive no real directions or information regarding what to check if nothing works. As directed, I downloaded all of the files from the SE site (70MB on dial up!), and then downloaded all of the user guides. Everything seemed to install ok, but nothing would make my phone be recognized. After that I scoured the SE site for troubleshooting info on their branded cable-in the hope that something would help me figure out the problem. After 2 full days of beating my head against the wall, I finally threw the cable and the useless CD that came with it in the trash.If I had used my brain I would have paid the extra $$ for a SE branded cable and software (and the support that comes along with that). I now have the real deal (SE data cable and software), and guess what? Yep, installation was a breeze and it works beautifully. You really do get what you pay for."
43,"USB Data Cable for Sony-Ericsson Z600, Z500, Z200, S700, P900, P802, P800, K700, T637, T630,T628, T618, T616, T610, T316, T310, T237, T226, T68i, T68, T62u, T39, R380 + Internet + Driver CD",unknown,196,"J. Baker ""Sunny""",1/3,5.0,1134518400,A must have product at low price!,"This cable saves me a lot of money. I don't need to buy stuff online when now I can download it straight to my PC. makes it easy to transfer Pictures, ring tones, contact numbers. It is great to put things on and off. Also great for keeping a back up."
62,"Motorola HT820 Stereo Bluetooth Headset with microphone , Wireless , 12 hours Music",unknown,155,Ivan Arturo Paiz Solorzano,2/2,4.0,1153872000,"Great for mp3 phones, not so loud.","A great device, I use it with a NOKIA 9300 it is great.I use it during the gym, I can hear my songs and do not waste a call at all.Cons.: Low Volume, Not as loud as an ipod or mp3 playerPro: Very very confortable, great singal coverage.I you are looking for hearing your mp3 songs in your phone it is great. Watch out that it is not compatible to hear mp3 music from all MOtorola, I tried it with a V3i, and I only was able to use it as a regular bluetooth headset, I could not hear any music at all.I gurantee you your satisfaction."
62,"Motorola HT820 Stereo Bluetooth Headset with microphone , Wireless , 12 hours Music",unknown,951,J. Tomlinson,0/0,5.0,1345161600,Gold Standard,"I've gone through many different bluetooth headphones. This is the first pair I ever bought many many years ago. I'm wearing them right now. I've tried the S9's, S10's, Jabra Halo, Jabra Sport, Arctic Cooling. That doesn't even include the plain old jerk-buds.These look atrocious. My wife hates them. They are still my gold standard.I have a walk that kills BT reception every time on every headset. These only lose the signal for half a step. The Jabra Sport, by contrast, doesn't even work when it is set on the table in front of me. The Arctic Cooling headphones are my latest. They are more comfortable, but still lose the signal whenever I walk outside.Yes, I live next to a Cell Tower. So my situation is very stressful for a BT headphone or headset. The BT820s, old school, just work. Period."
62,"Motorola HT820 Stereo Bluetooth Headset with microphone , Wireless , 12 hours Music",unknown,158,"John Anetrella ""esse est percipi""",0/0,5.0,1316476800,Old skewl,Review is a few years late. Worked great when I had them. You look like a complete dork with them on. Product is archaic now.
62,"Motorola HT820 Stereo Bluetooth Headset with microphone , Wireless , 12 hours Music",unknown,442,"JRod3737 ""jrod37""",5/8,1.0,1158624000,Does not work,"According to the specifications this headset supports Bluetooth 1.2, as well as the Advanced Audio Distribution Profile (A2DP) and the Audio Video Remote Control Profile (AVRCP). I could not get any sound to come out when connected with my Sony Ericsson w600i in phone or Walkman mode, and people could not hear me when I called them. I tried every setting possible, read the instructional booklets for each device and the thing still wouldn't to anything when connected. I am guessing that this headset works fantastically with any Motorola device, but as far as I'm concerned this product is guilty of false advertising. After this experience I do not plan on buying any Motorola Bluetooth devices."
62,"Motorola HT820 Stereo Bluetooth Headset with microphone , Wireless , 12 hours Music",unknown,964,unknown,1/2,3.0,1232150400,IT WONT PAIR WITH MY IPOD IN MY IPHONE,IT PAIRED WTH MY IPHONE FINE AND IT WORKS REALLY WELL.BUT IT WILL NOT PAIR WITH THE IPOD IN MY IPHONE.
58,,unknown,493,Martha Berenice Posada Leon,0/0,5.0,1154217600,QUESTIONS ABOUT THE PRODUCT...,"I would like to buy two or more shells, do you offer differents colors to choose from? wich colors are there? this is because i would like to pay only one shipping fee. Please answere ASAP."
42,Belkin Executive Leather Case handheld carrying case ( F8D0402 ),unknown,502,"Tim Tuohy ""Tp2e""",0/2,5.0,1183420800,Cool cover for Dell Pocket PC,This leather cover provides a professional finish for the hand held computer. A yuppie must-have accessory.
50,Samsung T809 M620 i607 U420 A303 A717 Car Charger CAD300MBEB,6.75,198,L. Henry,1/1,5.0,1212364800,Great Buy!!,I thought this item was great for the money. If we would have bought it new from Verizon it would have cost 2x or 3x as much. Very happy.
50,Samsung T809 M620 i607 U420 A303 A717 Car Charger CAD300MBEB,6.75,131,"Rex Moncrief ""www.smartergeek.com""",0/0,4.0,1222732800,Charger works great,The charger works fine as advertised. The location of the of the charger inlet on the phone itself is not very good - makes it awkward if you are charging and trying to talk.
59,For Motorola V9m/ V3/ V3c/ V3i/ V3m/ V3t/ V3v Razr Razor Leather Case/ Pouch/ Cover - Magnetic Button and Expand Cover with Belt Clip - Black,unknown,551,"John R. Carpentier ""JohnC""",1/1,5.0,1180656000,Best RAZOR case,Great case... cingular should get their cases from this supplier... cingular's case is... sorry can't use that word.
80,NEW UNLOCKED SAMSUNG X830 PINK MP3 CAMERA GSM CELL PHONE,unknown,512,J. Holmes,0/1,5.0,1195171200,PERFECT!,"This item came earlier than expected! It is everything I wanted and more! I speak Italian, so it was easy to read the instructions. You can change it to English if you like...SUPER SIMPLE! GRAZIE!"
1,Ericsson Dual Slot Desktop Charger for Ericsson Phones,unknown,659,E. Alvarez,4/4,4.0,980899200,Works great but ...,"I purchased this charger along with the &quot;Ericsson 1200 mAh Extended Battery&quot; for my LX588. I had to return the battery because it does not fit in either of the two slots provided by this charger. Don't get this charger with the larger 1200mAh Ericsson battery. BTW, the Charger works great with regular sized Ericsson batteries. I like the discharge feature in the back slot."
0,Audiovox Leather Carrying Case for Audiovox Phones,unknown,964,unknown,4/4,1.0,979948800,Case doesn't fit phone properly,"The case I had didn't fit properly - the window obstructed the rightmost side of the display. You could shift it over, but it would always shift back. I don't know if they are all that way (maybe I got a bad one?), but I didn't want to buy another one to find out."
0,Audiovox Leather Carrying Case for Audiovox Phones,unknown,964,unknown,0/0,4.0,1029715200,"Case pretty classy, Clip not so great","Well constructed case, of good quality leather. Looks, works just fine. However, my wife broke the belt clip on hers in under 6 month, I broke mine in under a year. My guess is, if you never dropped your cellphone (is that possible?) you would never have any serious complaints with this case. I'm here, now, to order another one...and they're on sale! Hooray!"
0,Audiovox Leather Carrying Case for Audiovox Phones,unknown,964,unknown,0/0,2.0,998870400,Can you hear me now...Can you hear me now?,"The averall construction is good but the placement of the holes leave a lot to be desired. It changes position very easily and constantly covers the, already way too small, holes you speak into. I would have been very dissapointed if I would have paid the original asking price of $... The belt clip feature is good."
0,Audiovox Leather Carrying Case for Audiovox Phones,unknown,964,unknown,0/0,4.0,981936000,Good Fit &amp; Function,"The cover fits reasonably well, with only slight shifting. It does not obstruct any of the controls, display, the mouthpiece or the earpiece. I really like the clip on the back. I'm pretty satisfied overall."
3,Motorola Hands-Free Car Kit for Motorola StarTAC Phones,unknown,765,PBJL,8/8,4.0,997660800,Motorola Startac,"The Motorola StarTAC Hands Free Car kit is outstanding. The speaker audio is loud and clear and the microphone pick up crisp. I have had hands free on my previous car phones and it is the &quot;way to go&quot;. The kit is very inclusive and easy to install if you are comfortable with basic electronics and able to take the molding, etc, off your car in order to run the antenna coax, etc. (External antenna is not included but you really need to get one for maximum performance) Anyone who has installed a Ham or CB radio will be right at home. The mounting of the holder for the StarTAC cell phone itself may need some modification or you may want to make a bracket in order to get a neat installation.I would suggest that you mount it as high as possible in order to keep it as close to your driving line of sight for safety concerns. Mine worked flawlessly after a 2-3 hour install in a Ford F-150. Will be mounting one in our Lincoln TC soon. Also suggest that you mount the hands free microphone near the center of the car (near the rear view mirror or center it on the dash) so that a passenger can be heard should they speak. A must have."
3,Motorola Hands-Free Car Kit for Motorola StarTAC Phones,unknown,964,unknown,0/0,4.0,1032566400,Works Great,The biggest minus is having to remove the phone from the cradle and unplug the cord from the phone to remove from the car. Other than that minor inconvienence it works great
2,Jabra EarGels - Clear,9.70,317,"Jason ""Jason""",9/10,5.0,1213401600,Jawbone Ear Fix,"If you have had an issue with the Jawbone headset staying in your ear, purchase these babies and pick out the one that works best in your ear. Then you can attach it to your Jawbone one of two ways. First is the easiest, take off the twist ear piece and place the Jabra EarGel on. Put it on your ear and find the best position for you. Then place a couple of small (super tiny) drops of super glue on the EarGel and the Jawbone. Let it setup overnight and presto! You have a great bluetooth that stays in place. The other is to take one of the extra ear buds and take it apart and keep the ring. Place that ring inside the EarGel and glue it into place. Keep in mind you must have the correct position so when you put it on that it has the perfect fit once it is twisted."
2,Jabra EarGels - Clear,9.70,736,"Dragonspeak ""khsdragon""",6/6,5.0,1187568000,Jabra gels fit well on my aliph jawbone after an accident,"I accidentally tore the original factory bud off the aliph jawbone by not reading the instructions first, leaving a locking plastic ring which I saved. I bought the Jabra Clear Gels from 'Radio Snack' for under $5 and replaced the factory bud with this empty plastic ring on the jawbone, then pressed the gel piece over the ring and speaker hole to make a nice factory-like fit to the jawbone and a custom fit to my large ear canal. There was no extreme stretching of the Gel over the thin ring. The new Gel with the factory locking ring holds itself securely in my ear and the sound quality is much improved over the loose fitting factory buds."
2,Jabra EarGels - Clear,9.70,942,"Nathaniel A. McLaughlin ""Blast Pattern""",6/6,4.0,1197504000,Fit is execellent.,"Used these to replace the painfuly uncomfortable original earpads on my Samsung WEP200 Bluetooth headset and they're a tremendous improvement. Great that they include small, medium and large pads to ensure custom like fit. If not for these I wouldve had to chuck the earpiece in the garbage. They obviously won't fit every device out there so you maybe taking a gamble."
2,Jabra EarGels - Clear,9.70,368,Maui,6/6,5.0,1189814400,Jabra EarGels,"This is an excellent product to use for a bluetooth headset. I use it with the Samsung Wep200 and it fits perfectly. It comes with several different sized gels, which can be shared with family members. This product finally allows me to use my bluetooth without worrying about the headset falling from my ear during normal use."
2,Jabra EarGels - Clear,9.70,114,"dixie chick ""dixiechick""",5/5,4.0,1225584000,Very comfortable,These eargels are much more comfortable than the ones that came with my Jawbone 2. I don't have to wear the earloop anymore either. Great buy!
2,Jabra EarGels - Clear,9.70,49,M. Rich,10/12,1.0,1141171200,Not worth the $2.99,"I bought these for use on my ipod earbuds. I had an old pair (they were green) that worked great, but I lost one. Within minutes of putting them on the earbuds, they split open - all three pairs! If you're planning on using these for your ipod headphones, look into the older colored ones - I believe they're a different material and less prone to cracking."
2,Jabra EarGels - Clear,9.70,816,"W. Martin ""Look, Press, and Roll!""",10/12,1.0,1128988800,Glad they were under ten bucks.,"Save your money. The eargels split in two days. I used regular ear buds on the large size. They did hold the buds in the ear better, but no gain in sound quality. If you want the small and med, I'll send them to you for shipping. I have no use for them."
2,Jabra EarGels - Clear,9.70,226,Panoptic Designer,10/12,1.0,1126396800,Hardly worth the whole $2.95 I paid for them.,"I have ear gels before, but none that were this cheap (and I don't mean cost!). There was no consistency in the size (they come in different sizes, but no two were the same). And without fail, every single one I tried to use split in half after being installed on the ear piece. Every one! It didn't seem to matter if they were small or larger -- or even larger than the ear piece. The material just began tearing from both sides and ended up falling off in ever instance.I am sure there must be a better quality version of these things somewhere. I seriously do not recommend these to anyone."
2,Jabra EarGels - Clear,9.70,624,Jeremy G. Moritz,9/11,3.0,1167782400,They didn't fit on my jabra like i thought they would,"It's probably more my fault than the fault of the product, but i couldn't get them to fit on my jabra"
2,Jabra EarGels - Clear,9.70,533,A. Trujillo,4/4,5.0,1214265600,Comfort at last,"I bought these eargels for my bluetooth, which happens to be a Samsung WEP200, and it fit it perfectly. Gives great comfort and a perfect fit. Comes with more than just three. Comes with a whole bunch. Highly recommended product"
2,Jabra EarGels - Clear,9.70,521,Eric Wymer,1/1,5.0,1354579200,Fits like a glove (but in your ear),I had trouble getting good base with the standard ear gels - these work great and fit nicely in my ears.
2,Jabra EarGels - Clear,9.70,159,Kenneth Payne,1/1,4.0,1353974400,Good Deal,"Very pleased with EarGels & was surprised how fast they arrived. Certainly makes a big difference in being able to use my Jawbone, which would not stay in my ear with any of the factory supplied ear molds. Jawbone would do well to cut a deal with Jabra to furnish Ear Gels with all their Jawbones. Use it about 75% more now. Thanks for a good deal & fast shipping."
2,Jabra EarGels - Clear,9.70,433,lady,1/1,1.0,1350518400,Eargels,They don't stay on the bluetooth...when they do stay on they work great! So I feel like I wasted my money :-(
2,Jabra EarGels - Clear,9.70,515,Bren,1/1,4.0,1345161600,Jabra Eargels,"Looking for something to work with my Jawbone ICON. The set consists of 3 pairs of eargel (three sizes). Found the size that fit and inserted the ICON. Works OK, but not as snug as I would like on my right ear. Tried the left ear one and it was much better; fit was better and sound was louder. Tried several types of earphone adapters, and these seem to work better than most. If you have a problem with fit on one ear, try the other one."
2,Jabra EarGels - Clear,9.70,74,CatSlave852,1/1,3.0,1339372800,Too Big,"Unfortunately, the ear gels in this set are all really too big for my ear. Not only that, but I can't figure out how to wear the ""tab"" that's on it. Does it go up, down, sideways, or at a slant to follow the ""dip"" my ear has just in front of the hole. And since I can't figure that out, & the fact even the small one is too big, it keeps slipping out of my ear. Thank goodness for the loop, or I'd have lost it long ago. Also, it becomes very irritating to the ridges in my ear & I usually have to take it off. I wish they still had the gels that came with the bluetooth. That one was really comfortable. This purchase turned out to be a lot more expensive than it should have been, since I now have 5 ear gels that I can't even use."
2,Jabra EarGels - Clear,9.70,104,RobPC123,1/1,3.0,1339200000,Jabra eargels are all to big for the average size ear.,"I bought these eargels thinking that with 3 different sizes, one would fit a normal size ear. It turns out that all 3 sizes in the package are too large and the headset does not stay in place but keeps falling out. I have had friends and family try them with the same results. the description should read medium, large and extra large. I f you have a normal to smaller ear don't bother with these."
2,Jabra EarGels - Clear,9.70,606,glauber,1/1,4.0,1330732800,They work fine,"They work fine, keep the Jawbone firmly in the right place, and are almost comfortable. There are 6 in the package: 3 sizes each for left and right ear. I was surprised that the one that worked for me is the large one (no, i don't have gigantic ears!) :0) so try them all on until you find one that works.With the Jawbone, put the small plain rubber ring on first, then the eargel goes over the ring."
2,Jabra EarGels - Clear,9.70,461,"Handymel ""Mel E.""",1/1,5.0,1330128000,the keep my icon and my jabra extreme where they belong.,"Works great, fits better. Works with a range of headsets. I use it with a jawbone iciness and a jabra extreme. The gels are comfortable, and fit quite well. Before buying these I was seriuosly thinking of a custoel. Th ese are almost the well fitting. Biggest issue is that the material hardens and may need replaced in about 6 months, but for the price I can live with that."
2,Jabra EarGels - Clear,9.70,893,George L.,1/1,4.0,1328745600,As advertised,The Ear Gel was advertised. They came with pieces for all 3 sizes both left and right. It fit my Jabra BT2080 perfectly. I would definitely buy again.
2,Jabra EarGels - Clear,9.70,804,Christopher J. Vitek,1/1,5.0,1326758400,Great ear piece adapter,"The Jawbone bluetooth headset is a great little device, but unfortunately, none of the supplied ear pieces fit comfortable in my ear. I was all ready to return it, when I decided to try these Jabra EarGels. Well, I got them yesterday, and they make a world of difference. The Jawbone now comfortable fits in my ear, the little piece that is supposed to be touching my cheek is doing so. In fact, it is such a good fit I don't even need the other-the-ear hook any more!The EarGels come in three sizes, and are designed to fit the contours of your ear - not just to be shoved in an held in my force. Why JawBone themselves don't make something like this to come with the headset is beyond me, but at least Jabra stepped up to fill the void!"
2,Jabra EarGels - Clear,9.70,766,Dragonsofcp,0/0,5.0,1309996800,Best fit for jawbone era- so comfy!,"When I searched the net for a more comfortable ear piece for my jawbone era I came across this. I had read several mixed reviews about them. After a few more days of the era falling out my ear or my ear being super sore from the provided gels I took a chance.These are great. They are better than the jawbone ones in every way. They stay in my ear better. They are more comfortable. I can, also, hear the audio better.I give these five stars because they are perfect for me. If I were rating this for other folks I would probably rate it 4 stars because there are only 3 sizes. If you don't fit one it will be frustrating."
2,Jabra EarGels - Clear,9.70,643,Jeremy S. Stevens,0/0,5.0,1307923200,Fit my ears perfect,The Jabra EarGels fit my ears very well. I use one set on my iPhone headphones and one on my Jabra Bluetooth.
2,Jabra EarGels - Clear,9.70,890,Neal Mccuistion,0/0,5.0,1305158400,Great Ear Gels,"These Ear Gels Work Very Well, Comfort Is The Main Reason I Bought Them, Fit The Ear Very Well, The Price Was Right, You Will Not Go Wrong With These Ear Gels, That Is Why I Gave Them Five Stars"
2,Jabra EarGels - Clear,9.70,211,Mikey likes it,0/0,1.0,1304899200,Completely Worthless,"These may work for some people, but for others like me, they're worthless. The fit was horrible and they did not stay in my ear. They also caused my Jawbone Prime to protrude far enough so that the front part no longer touched my face (which is required for their noise reduction circuitry to work). I threw these away and am now using the stock earbud with the ear hook.These are designed for people with a certain ear shape. If your ears don't conform to this shape (which is likely the case for many people), these will be useless. If you want these, I suggest buying from a local store where you might be able to try them on, or at least to return them without having to pay return shipping."
2,Jabra EarGels - Clear,9.70,549,R. Drennen,0/0,5.0,1301702400,Jabra ear gel,"Product works perfectly with jawbone 2. Ease of use without needing to change anything on ear peice. Will need to decrease volume when using the nanda ear gel. Getting good fit easy with the differen sizes provided. Soft material makes comfortable for extended use , and no need for the ear loop."
2,Jabra EarGels - Clear,9.70,444,R. Barrett,0/0,5.0,1300060800,holds my prime in place,got these for my JB prime....and they do the trick....i work outdoors out of my cable van all day.....and this holds my earpiece in place for a couple hours...till my ear hurts....the stock one wouldnt hold it in my ear and hurt alot worse.....had to use the round ear piece...not the one with the hoop in it....these slid right over....works great....
2,Jabra EarGels - Clear,9.70,730,Helm311,0/0,1.0,1294704000,"Junk,Don't wast your money.","I got these in hope It would give me a good fit to my jawbone 2, but they did not work for me. I think they even made it less of a fit."
2,Jabra EarGels - Clear,9.70,37,GB,0/0,4.0,1287705600,Makes Jawbone perfect,"I purchased this product after searching for ways to make Jawbone fit better. It worked!! Now my Jawbone fits perfectly, not popping/falling out of my ear. Also noticed I didn't need the volume as loud with audio directed into the ear canal. The Jawbone rests perfectly against my jaw for crystal clear conversations. It's also not necessary to keep the earpiece in the ear at all times while in standby. The eargels make the headset easy to find in your pocket/purse and put in the ear when receiving a call. I do recommend washing the earbuds with antibacterial soap and water prior to use then occasionally to reduce ear tenderness. Make sure to dry it well before putting it back on your bluetooth headset or other device."
2,Jabra EarGels - Clear,9.70,807,Geojackman,0/0,5.0,1287446400,Jabra EarGels,These EarGels make using my Jawbone I for long periods of time much more comfortable. I just put the EarGel over the existing ear button and it fits just right in my ear. No need to push and shove to get it seated and tight. Makes for a better drive when I am not always pushing in on the Jawbone to make sure it stays put. Great addition to any bluetooth earpiece that it will fit.
2,Jabra EarGels - Clear,9.70,212,Janice Polk-Davis,0/0,5.0,1286755200,Ears,I love this product. It holds my headset in my ears in it's own and I can hear everything. I have small ears so this has always been a problem for me. Great product.
2,Jabra EarGels - Clear,9.70,177,Timothy Wimbley,0/0,5.0,1233360000,Jabra Ear Gel and the Jawbone 2,"Ladies and Gentlemen..... I bought this product to go with my jawbone 2. and it is GREAT!! With this product I am able to take off the loop that comes with my jawbone and wear it all day without any problems. I actually have to turn the sound down when I wear it because it is loud. It looks so much better without the ear loop. I found the best way to figure out which size to use is to try the ear gels in your ear first until you find the right one. Be careful putting the ear gel over the Jawbone ear piece ( you dont want to tear it). There is a chance that these ear gels wont fit your ear but for the price they cost it is worth the gamble. If it fits you'll find a new level of comfort, sound quality and not to mention it looks a lot better to get rid of the ear loop."
2,Jabra EarGels - Clear,9.70,138,"will b ""will b""",0/0,4.0,1232928000,Makes a Jawbone 2 better,"I hated the fit of my Jawbone 2.0. It would never stay in no matter which ear loop or ear bud I used. Someone recommended these to me, so I thought I'd give them a try. After 2 months of using it, I'm pissed I didn't get them sooner. Before chucking your Jawbone 2.0, try these."
2,Jabra EarGels - Clear,9.70,30,"Nathan Stocum ""Nate""",0/0,5.0,1232409600,"If you have the Jawbone, these are a must.","I read a few negative reviews and was hesitant to buy the gels. I wish I would have done it sooner. I got six gels, three for each ear and they are incredibly more comfortable than ear loop/hard plastic circles that comes along with the Jawbone. Well worth the money."
2,Jabra EarGels - Clear,9.70,384,"Caedis Hax ""Your company's Network Admin""",0/0,5.0,1231718400,The Aliph Jawbone 2 Savior,"These EarGels are the best solution bar-none to fix the comfort issue with the Aliph Jawbone 2. They make it possible to leave the jawbone in place for extreme durations. My only concern now is that my jawbone is so comfy and fixed it so well with no weight that I might fall asleep on it or take a sower with it on! To mod this onto the jawbone I simply removed the earbud O-ring and found the right size eargel for my ear. (Large in this case) then got some super glue to paint around where the O-ring attached on the jawbone, then simply placed the jawbone inside the eargel that I fitted on my ear. Left it in my ear for a few hours to dry and done. (Course I kept wearing it even after those hours were up) :)"
2,Jabra EarGels - Clear,9.70,426,"Butterfly ""Bluetooth Freak""",0/0,4.0,1231027200,Very Comfy,"I really like these. I like that there are 3 different sizes for each ear. I use the small ones and my husband uses the large ones. It was like they were made just for my ears. I would recommend these even for headphone, not just bluetooth headsets."
2,Jabra EarGels - Clear,9.70,1,"C. Govan ""CDG""",0/0,3.0,1230422400,"Functional, but not great","The eargels are functional, but they are a little awkward to put in. I've been using one with my bluetooth headset, and it certainly improves the sound. The term ""gel"" led me to believe they would be more comfortable than my bluetooth. However, like all headsets I've used, the gels irritate after ~30 minutes of use."
